"","hsa-let-7e","hsa-mir-106a","hsa-mir-10a","hsa-mir-1180","hsa-mir-127","hsa-mir-128-1","hsa-mir-128-2","hsa-mir-134","hsa-mir-141","hsa-mir-146a","hsa-mir-146b","hsa-mir-148a","hsa-mir-150","hsa-mir-155","hsa-mir-17","hsa-mir-181c","hsa-mir-182","hsa-mir-183","hsa-mir-187","hsa-mir-18a","hsa-mir-200b","hsa-mir-200c","hsa-mir-20a","hsa-mir-20b","hsa-mir-210","hsa-mir-215","hsa-mir-29a","hsa-mir-29b-1","hsa-mir-29b-2","hsa-mir-335","hsa-mir-34c","hsa-mir-363","hsa-mir-379","hsa-mir-381","hsa-mir-409","hsa-mir-410","hsa-mir-429","hsa-mir-432","hsa-mir-4661","hsa-mir-4772","hsa-mir-485","hsa-mir-487b","hsa-mir-584","hsa-mir-629","hsa-mir-651","hsa-mir-708","hsa-mir-889","hsa-mir-9-1","hsa-mir-9-2","hsa-mir-9-3","hsa-mir-92a-1","hsa-mir-92a-2","hsa-mir-93","hsa-mir-96","hsa-mir-135b","hsa-mir-200a"
"TCGA-OU-A5PI",11.7688661174888,2.0906312518541,14.0638180336501,4.15962111342263,11.7198505070225,4.23500177780634,4.26408471116911,10.4233091847114,1.10457619440723,2.0906312518541,6.23996061577533,15.4236573113061,3.79136098336227,3.68784678773653,6.21411283466545,4.931958381331,13.3269355202797,10.5386281032632,0.253052571470412,0.46827258933039,0.655514866839316,3.01682914255602,6.16098507089921,4.37488590652067,8.1081861051178,0.821224473554884,12.023404705457,10.3512390994828,10.3569450378556,5.83733168198854,4.11242674532507,2.53434876779349,11.3635509169802,8.24211150691171,8.26746683114043,6.4475256564945,0,5.87080463750026,0.46827258933039,0.46827258933039,6.25814382423621,6.17636510330922,3.73014788854896,3.1158730719188,1.4465394468029,4.63075730683708,8.69541370330974,9.43538782756131,9.47323929007354,9.44811564447529,11.0113425420016,11.0236183559051,10.3427441587664,4.17501561600844,0.46827258933039,0
"TCGA-G2-A2EC",9.63003171988637,1.58211999756685,13.9920941304038,2.99626779363539,8.96892722077746,4.35851160542812,4.24388626089538,7.90006375793042,9.6434545867687,6.39055356053922,5.86793198745032,13.503121863991,8.51818690987525,7.67322271977204,7.63961142871833,5.94333569287687,13.273540597374,11.2915045093138,5.20530269366869,2.14353970538641,8.8286332602873,13.0715477478666,6.42683319874984,2.51105455251129,5.41248066157366,1.64916936167439,12.7886119024809,6.59781387542229,6.59993385778759,3.61499140715562,1.4378796812214,1.35996470566593,10.2549762162756,4.97641684215132,3.02179363933239,5.61473063055115,7.12651876358594,2.8036990387954,1.35996470566593,1.77458720285114,2.09626623916856,2.74360393545044,6.37825472436861,5.627256977181,2.47454792403546,3.52859807223957,4.74312688323941,5.05269345929512,4.95006797804739,4.96987458058187,10.782239311426,10.790732264497,11.952681475646,3.49253824581625,2.71259093844182,7.91461476700907
"TCGA-G2-A2EJ",8.86995040316321,1.63429215284146,10.9477707575983,3.4881473473759,7.8553475526361,4.38135515933374,4.15662466930563,6.71445345686519,10.6897483356352,6.08828273792738,7.99279549803857,12.1697457410826,6.18086359951228,6.9675927865257,9.45481203276582,3.52628945700426,13.6868476954014,11.1410654615657,2.98446193553419,3.83059587522115,9.41534077430825,13.584611060707,7.76850804775169,0.679193164673736,10.288155623939,2.29515964644905,13.2204143462496,6.81802353706098,6.67679685320029,3.73611700389418,3.86076221653847,0.927414843073969,8.81226617535937,5.39866445481329,2.00224092813058,2.53852525132725,7.26129799452123,1.32372111577076,2.92859374577745,4.0296040383838,0,1.63429215284146,9.95397723389196,6.22791349053994,1.7676437820217,5.96872355536128,3.03824705258998,10.4088708420686,10.3921858921587,10.4165069836851,12.7453802348433,12.7364468457073,11.3198330300427,3.18852562782391,7.16182824050472,10.4050375608815
"TCGA-G2-A2EF",9.63771444221595,2.17851164583661,12.8800606666783,4.19695398563904,6.82364502604686,5.34614882479074,5.28220914811694,5.654667044348,7.83594092706676,7.03885243727731,9.66460852315324,12.518276260144,6.60150367385329,10.2844288702369,10.2659518395447,4.59803850129793,12.42119286311,10.810474760461,1.97784882855966,5.80633135334543,5.05873114587403,10.8489153413253,9.21456394286237,2.26926300154432,10.0938902828583,1.30423415797475,14.7900848231435,9.19081714726756,9.19660994053667,6.74281194881086,1.97784882855966,2.58409397737634,7.56300070846753,2.84237749977075,1.61227558442388,1.86597699614198,3.37920062302526,1.12142725647646,1.7446958702469,3.67312784825377,0.912048904203974,0.912048904203974,7.00624058877127,5.95043080653826,2.08166617410582,4.14995842837294,2.35464228814819,8.20266921131811,8.18237785543438,8.19545501879744,13.5368971301755,13.5313926186958,12.7704838474629,3.2062285771031,1.7446958702469,4.96681074895469
"TCGA-G2-A2EK",9.05148900324951,1.10173074644147,12.0130909274188,2.64456005322596,9.05408355961784,3.88297957374611,3.9646787336887,7.86237252820583,7.39926581457959,6.75194821148256,6.85314745288058,12.208668860881,8.23360498132607,7.41791843863729,7.37622788754363,4.47269714200932,12.5405562682078,11.0224107096793,5.36156495735868,2.73011603480015,9.25755998695818,12.2349190381672,7.06555002779725,2.02017146994542,2.62235409464696,0.653573699394162,13.1279954329728,6.7429711756003,6.71044647942568,4.98453065708983,1.91448415893242,1.63283587411269,10.1426251101175,5.30343493473595,3.07891395035242,5.95491503557563,7.97509281253065,3.67216857598268,0.563206951743936,1.54111830402469,1.16454816876931,2.8496290336271,5.73454634938526,5.26453354110232,1.49297603772638,3.38618890876436,4.90857477616974,5.58181561898663,5.53800307534666,5.59327768981985,10.5658529623368,10.5667617196603,11.3923595844959,2.83038514465197,2.70919798260799,8.55044544224562
"TCGA-E5-A2PC",11.0738886892713,3.33022106250987,12.6762409101549,3.16345863897297,7.40303478260233,6.21499134748886,6.2361577747807,6.30788639890639,9.41298461651256,5.19698635472727,7.41700449253431,11.8992659819277,4.8981980958878,5.88053985272025,8.79709322875921,4.65270027328998,12.3469075855633,11.5178584224328,4.9114165808652,2.57059286487959,8.83573970337419,13.0154088797993,8.01989465745402,3.20699088534694,9.92616707762131,1.06894384796428,11.350979411299,6.17170346913066,6.17170346913066,7.63785911892154,1.54661990509957,2.69810376940525,8.30797388196425,3.51475589661849,2.43070998912512,3.33022106250987,7.10238167930199,1.06894384796428,2.43070998912512,0.631288711976823,1.40427371267284,0.866649278443626,8.58558584323135,5.88724559962235,3.44374852719174,3.20699088534694,3.29030260128875,3.29030260128875,2.97486957217822,2.63575648045652,12.7857740155864,12.780211814803,11.3465763848818,4.14917195881846,3.24924796204838,8.22305797333696
"TCGA-FD-A3B4",8.66143701147159,0.797199789558928,10.9814333661898,1.50807972661851,7.86084561136083,4.13740556470987,4.16733127039331,6.46027587277886,7.17295766291016,4.69478037044571,6.90194380329631,12.6775155030257,7.53760693220327,6.37948755719082,7.78687046097664,3.37934232090702,11.4165506552423,9.10921627223689,1.19598879360929,1.50807972661851,5.45246467300855,10.1876442029781,6.30067200926056,0.94272542835584,7.43831899519901,2.28482650567808,11.8693812170419,4.86878399186982,4.99095508723582,4.19664874442865,2.04800246128699,0.94272542835584,9.19615692341073,5.18629390023268,2.1712683264288,3.18823806622352,2.70773128559178,0.797199789558928,0.635330921933027,1.68399910783706,1.30769022673695,1.41136170266248,6.68119024850653,4.9741228318808,1.59871916533838,5.57473991987262,3.0343594141325,6.93276134271015,6.82424064370567,6.9479267159665,11.3791794889003,11.3959633756601,10.4726254250935,1.68399910783706,3.61474529275785,5.8714130669138
"TCGA-G2-A3IB",8.71658277821006,2.70994256891238,11.1462411754346,4.88296739921066,7.55364321590433,5.13132562182973,5.57649804241443,6.75354934315418,9.93039504564704,3.77290059985414,7.23515091014276,11.2064596224177,4.07356474056229,5.75632976992608,8.84137508517577,4.07356474056229,11.8248303476819,10.9898778749789,7.66478133955179,4.4321659740287,9.64809349520983,12.5111925157782,8.12380929916764,2.05914896578179,10.9774663676205,0.841450676179933,12.0184488501119,6.44810389631987,6.65496840435865,2.87475900491623,0.841450676179933,1.36943968152002,9.53252881233479,3.77290059985414,1.75512387105336,3.2795247828316,8.2150584364118,1.36943968152002,0.841450676179933,0,0.841450676179933,0.841450676179933,7.06642239299853,7.00548977160463,2.52383917777181,5.19508340816714,2.05914896578179,6.67746477471359,6.57334813618062,6.71056494972451,12.5944561083094,12.5768003146076,11.9476224955891,3.49749255117461,4.20325754720309,10.1673876130635
"TCGA-G2-A3IE",9.73022343986628,2.95283748964177,12.7222075658492,4.08213200573989,8.60139563892553,6.15970799023974,6.14728496049147,7.42642823130623,10.1861586812946,7.91825754784742,6.12211329688908,13.101817155805,8.10006304148621,6.25541932432902,9.29759819958054,5.26270968776862,13.3199548792436,11.901140721997,8.4299418768827,5.19189576962339,10.5991773004106,13.525164177223,7.44684661308841,1.50534168669337,7.24594604490798,2.56164018327472,13.2513270505396,7.94002729692888,7.97559575083376,7.0988745498563,1.15441859426246,1.15441859426246,9.73022343986628,5.41556162083074,2.95283748964177,4.67349553780886,10.3414499669659,3.26027005008788,2.22584220844137,2.56164018327472,1.50534168669337,1.15441859426246,9.10387495498408,6.93509043425713,3.51355921512902,8.52182773952133,4.60246739177613,3.34973269904568,4.23083466910711,3.58898633130308,12.396959050954,12.4332281653338,12.5459151661875,4.83712526426683,2.56164018327472,10.3738012927388
"TCGA-DK-A3IV",8.93650985143983,2.6336462616778,15.8904384482273,3.12798730732126,7.17088844003843,5.28206214164324,5.24191380335972,5.32593250320153,10.1203230093922,8.1698914533832,7.1775552994206,13.3198183468498,11.3458272098969,8.25996802418839,9.13965575472179,5.6927730441081,12.5959516997449,10.5699146712467,2.75271990846096,3.25445133856162,9.60341158996567,12.4365314243142,8.22370776873066,4.37544388547925,9.10719928965476,6.45996249830146,13.5678633456589,7.50147972635756,7.524673132398,5.3211233876819,1.30353996237048,3.29425710715935,8.07880860676384,4.23932349123085,2.57020910123687,3.51246078392644,7.59309441068449,1.37952281996966,0.951883912267665,2.6336462616778,1.13839968359496,1.58605805197966,7.84419563014962,4.94956752168255,1.22333172216324,2.88894621024742,3.08324298787851,6.50306393699597,6.6173171012692,6.65411308389528,12.9101729291545,12.9224297404513,12.3635315615277,3.25445133856162,2.07164118130101,9.92100116615893
