,hsa-let-7c,hsa-let-7e,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-106a,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-127,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-129-2,hsa-mir-134,hsa-mir-141,hsa-mir-142,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-150,hsa-mir-155,hsa-mir-17,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-183,hsa-mir-187,hsa-mir-18a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203a,hsa-mir-20a,hsa-mir-20b,hsa-mir-210,hsa-mir-215,hsa-mir-218-2,hsa-mir-23b,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-3065,hsa-mir-31,hsa-mir-335,hsa-mir-34c,hsa-mir-363,hsa-mir-379,hsa-mir-381,hsa-mir-409,hsa-mir-410,hsa-mir-429,hsa-mir-432,hsa-mir-451a,hsa-mir-4661,hsa-mir-4772,hsa-mir-485,hsa-mir-487b,hsa-mir-508,hsa-mir-539,hsa-mir-582,hsa-mir-584,hsa-mir-629,hsa-mir-651,hsa-mir-675,hsa-mir-708,hsa-mir-889,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-96,hsa-mir-99a,hsa-mir-135b,hsa-mir-200a
TCGA-2G-AAGA,11.82741294,9.73048624,4.532818324,4.354336633,5.83965734,9.785341704,16.02858351,4.311486113,11.84207131,5.832097656,5.770150344,3.793876015,3.557621338,10.28905892,12.37065437,9.128739681,6.192407002,9.236462312,14.34031205,7.577837801,6.062759249,9.262005677,4.023627246,2.290091708,14.72272072,12.75927198,3.134507643,4.456204967,3.793876015,12.31106184,7.252142429,9.895526739,7.822547257,9.075310351,3.402931145,3.032656121,7.989854295,8.488882733,10.70708364,8.078781073,8.061105518,8.972474235,3.482348544,3.69731957,9.445979411,5.620203928,2.978900511,12.23857361,9.743137807,6.618705723,6.842139022,2.375781794,6.01681827,6.943845557,5.146462003,3.032656121,6.043249105,4.244725203,13.4509577,4.95092504,5.058497081,5.88420198,8.289412087,4.023627246,6.316785507,5.412862971,7.595805993,7.986453078,8.069166716,8.091501355,13.43595729,13.44372891,12.87012178,6.490112317,10.00421081,4.244725203,4.893973528
TCGA-2G-AAGC,12.282505,10.3073532,6.06447445,5.97790198,4.514881922,13.64625541,12.98930118,5.578171496,11.04285928,6.616300495,6.738109031,5.375181295,1.824603721,10.43946324,10.97900232,10.24061477,6.223438324,9.441205388,14.79976907,8.282186435,7.840968731,10.00824855,6.606297389,3.319340033,13.14497422,12.23956848,2.241354832,5.17316502,2.434642104,11.57001284,8.313265119,9.664004703,7.141129146,10.41083387,4.095920033,5.466485225,7.783314198,8.919363706,9.068895269,5.962300926,6.1076613,7.11843384,4.022597117,1.67949181,10.96988853,2.895298549,4.232252447,12.53217057,8.901580035,6.85042904,9.128209551,1.430141264,7.278175845,11.06311297,3.108740385,3.050909982,6.518348354,5.813736153,3.36751407,5.938578418,8.255232733,6.278019327,6.149592844,3.217879628,10.57498221,5.339395465,8.254432304,7.781092784,7.785532191,7.784423621,13.63507551,13.65204097,13.61742189,4.704983979,10.77101129,4.283371547,4.138189297
TCGA-2G-AAGE,13.45906683,10.5047667,3.99483801,3.787449286,6.100107775,13.51301516,14.03219372,5.0760445,12.31186656,6.414818689,6.688033507,5.164571499,2.188344583,10.4356629,12.19368473,9.94724006,6.3280365,9.765163455,15.40246052,7.363344849,6.921893278,10.72848022,5.326826628,3.253803851,14.58012671,12.68896079,2.817274922,5.999401541,2.39763514,11.47337311,7.514159566,10.888935,8.392947923,10.25087495,2.491896441,5.706879802,7.63786169,8.729215818,9.701242523,6.600822881,6.378263604,7.828311102,5.716673384,3.141957357,10.20942408,4.714824623,4.549316832,12.64516123,9.270460331,7.541968158,9.631124798,1.803423792,7.959887346,11.33577591,6.114995589,2.491896441,6.938727191,6.038970947,4.176127102,6.552425736,6.295732739,6.054499762,8.735250638,4.204244814,9.438184772,6.513627966,8.458616975,7.588046322,7.500051644,7.635282275,14.45407148,14.45831888,13.83790999,6.7465666,11.22069268,5.706879802,3.020705759
TCGA-2G-AAGF,12.76515041,9.987406654,3.871928197,3.709500517,5.994306976,13.04389552,13.75532087,4.356632609,11.59959715,6.037747704,6.029163567,4.584637196,1.898468421,10.53977241,11.55749753,9.681941446,5.188489191,10.55368049,14.81923588,7.339512667,6.905330849,9.97684379,5.967600498,3.316723863,13.39961282,11.3749855,1.739171087,5.203826424,5.66921296,11.16550454,7.863533298,10.09002004,8.348914719,10.199749,2.041912299,5.306850639,8.167207467,9.511380189,9.616832701,6.64937682,6.538823027,7.271996008,4.697289152,2.930843289,10.48197313,4.801778292,4.410505149,12.87513991,10.05767555,6.818326988,8.558795471,3.476797585,6.757265587,11.24294565,3.316723863,2.041912299,7.035324343,5.059542179,6.003100399,5.092875426,7.060816875,6.777907874,8.082622705,2.690717225,11.55749753,6.39256412,7.824378148,8.631485876,8.710117615,8.77059115,14.07730942,14.0618411,13.44282146,5.389655394,10.90342772,5.172987156,7.848974364
TCGA-2G-AAGG,12.77531878,10.25563798,5.478005879,5.585172277,5.554870948,13.85808866,15.03174996,5.257418582,9.975521272,6.897030348,6.867199677,5.595132944,2.499871903,8.282733791,10.46622561,10.60988289,7.936726312,9.184440129,15.44314078,9.178931569,7.174526086,9.635448682,5.631077996,4.396889628,10.18622315,9.142886905,2.219884694,4.871385688,9.206807856,13.8560838,9.695901904,9.298816894,7.540286286,9.045754587,11.94265867,5.709586617,8.558210133,9.51579293,10.84656197,7.644681702,7.697262731,8.843349691,4.94592719,1.956987411,8.545852087,2.382083417,5.089071186,10.25786042,6.098392206,4.838221363,6.640695797,8.471198591,5.520439064,8.782176533,0.998404941,2.499871903,4.358419542,4.148990461,6.086672834,3.582036395,6.972840178,6.253189211,6.175654913,3.427092021,9.165067449,5.18452235,6.495802961,9.186088603,9.172570618,9.172570618,12.61674788,12.6177407,13.54426481,2.527875307,11.09652218,4.70352196,8.920636885
TCGA-2G-AAGJ,9.501391299,9.488037167,1.835278556,2.491372118,6.819953859,8.45034163,13.90191721,4.709861259,11.31911883,6.506114825,6.228241612,3.843551373,1.345420221,9.567345572,11.33727725,11.03751514,8.238485141,10.44671406,14.71531236,9.11835725,8.407333689,9.750564641,4.394619981,2.940701999,12.80090465,11.0413882,2.617487977,5.3047317,1.611041091,11.68075744,6.286365359,10.50192968,8.807039688,10.23243604,2.02930587,3.943270326,7.162789347,8.072219831,10.37430411,7.558370337,7.689804008,8.380899747,2.353166591,3.427596921,7.800317652,4.968420506,4.124144395,11.54101615,9.766818634,6.68241541,6.082755336,1.611041091,5.883765176,9.023286087,3.282820816,4.206732296,5.32336016,4.081007125,3.790982068,4.792407225,6.877811672,5.529942509,8.338029527,3.427596921,4.737904663,5.103885286,8.001685486,6.68241541,6.653261212,6.963439721,13.63122221,13.64904248,12.6475387,5.03774228,7.477513866,2.73345999,1.611041091
TCGA-2G-AAGK,8.092076462,7.605672941,1.171759584,1.171759584,6.714075297,10.1317214,12.96354324,4.877657048,12.5970216,6.594476786,6.690935635,4.451609867,2.118016455,11.39789577,11.81564387,10.98504435,8.559478269,9.885812525,15.1790317,9.520309001,8.258711592,10.0836707,4.937866286,2.860826564,15.54282513,13.2430601,1.626721807,5.831907761,6.588228489,12.98940861,8.977947362,10.37888036,9.242495584,10.7523298,6.980554089,4.505655203,6.556574521,7.950680399,9.995527358,7.596363085,7.472923552,7.938451909,4.531937158,3.462432187,9.792422651,5.270001253,5.087125636,13.67544914,10.51809431,7.752595792,8.51570257,5.360771917,7.935993723,9.219434344,4.423808473,3.96502077,6.902125979,5.639858691,5.051233394,6.966169906,5.639858691,5.539800311,9.799200989,5.139343262,7.356426994,6.144509276,9.039925593,8.509102817,8.605062632,8.594190664,14.04723167,14.03062303,13.63510237,7.360098962,7.103938648,5.360771917,7.086312056
TCGA-2G-AAGN,8.510499507,8.413873336,1.654314089,2.077790572,4.622056682,8.98728521,13.88846564,4.467239825,11.78094554,6.561119341,6.476659166,3.970502875,4.212556421,10.65253433,12.42171579,10.75828506,6.926368409,9.542157555,14.59376686,8.930204767,7.321318202,9.772760114,3.795601664,1.48015084,14.95391083,13.42548548,3.20679683,5.873588904,2.499125157,12.29632004,6.047624672,9.984334498,6.865668003,9.375673943,1.809698839,3.314536298,6.216861056,8.157725175,10.71193107,7.488803738,7.477257352,8.585010237,4.212556421,2.499125157,8.265699993,5.335395286,3.868125696,12.44746257,9.597867153,6.81152567,7.301812968,0.778975567,6.31092755,11.15216384,4.889301421,2.499125157,6.160220225,4.267217112,7.186006676,5.410167169,6.470848716,5.570895614,9.049033651,3.832319404,6.047624672,5.665502379,8.062419193,7.224500085,7.327761787,7.346921637,13.60882559,13.59974425,13.52368813,7.572576075,7.210621028,5.144199648,2.499125157
TCGA-2G-AAGO,9.961592608,9.294387875,2.527893568,2.527893568,6.348980064,8.387910272,14.21411205,4.382923678,13.45824227,6.74065479,6.751334194,4.055379364,2.878997378,11.18731494,11.68556929,10.477379,6.921741569,10.10796013,14.43538744,9.562406094,6.562118072,10.14925813,3.501964916,1.867301081,14.47381267,13.02972926,2.878997378,5.703652876,3.073097677,11.5425192,6.719055843,10.68403443,8.565826234,9.703819689,2.460071771,4.00866777,7.313927116,8.923845892,10.79937272,7.420366131,7.375049904,8.737679698,4.20789777,2.930024991,9.41123244,3.203253318,4.00866777,13.59810561,11.80890629,8.740362491,9.191622311,1.372449017,7.809080506,10.26712033,4.649690178,3.56788941,7.610282921,6.059239815,9.879598692,6.605926858,6.081979954,6.115431931,8.760766495,3.161159381,5.946041228,5.260920361,9.866969392,7.62390665,7.635482598,7.533993219,14.47088777,14.47528967,13.50141905,7.41365878,8.493457999,4.603285161,3.432883263
TCGA-2G-AAGP,12.38373254,10.47997679,5.262112477,5.001170272,5.421188957,12.9461463,15.38152731,4.914085092,9.759143111,6.601523418,6.633328759,5.537813251,1.007301726,8.425126581,9.227125204,10.9074268,7.336403905,9.3870987,15.05634122,8.997123952,8.074435903,9.446789027,5.645710938,3.681804554,11.05905124,10.15209365,3.205625384,4.738044417,6.672634376,12.61318156,8.73514276,9.220858555,7.702996245,9.278650267,8.326755499,4.994654889,8.838356548,9.475147989,11.35917377,8.252923146,8.268535193,9.612068223,4.607490466,1.787940578,8.395756852,2.819849429,4.33576964,10.10938488,5.71472738,5.007656363,5.459544243,6.027165975,3.934174517,7.692970032,1.449789547,3.509707495,3.11241023,3.375726755,8.80569657,3.527870804,6.726709498,5.799405659,6.62912835,4.33576964,9.501524836,6.036711217,5.765363071,7.471571589,7.410473425,7.408023887,12.50322893,12.5083836,13.35031422,3.088133963,10.66330013,4.510349973,7.271859514
