mature_mirna_id,miRNA_short_lower,target_symbol
hsa-miR-99a-5p,hsa-mir-99a,FGFR3
hsa-miR-539-5p,hsa-mir-539,PRRG4
hsa-miR-539-5p,hsa-mir-539,SPINT2
hsa-miR-99a-3p,hsa-mir-99a,FGFR3
hsa-let-7c-5p,hsa-let-7c,ID1
hsa-let-7c-5p,hsa-let-7c,MYCL
hsa-let-7c-5p,hsa-let-7c,RHOV
hsa-let-7c-5p,hsa-let-7c,RAPGEFL1
hsa-let-7c-5p,hsa-let-7c,PRSS22
