"","hsa-let-7e","hsa-mir-106a","hsa-mir-10a","hsa-mir-1180","hsa-mir-127","hsa-mir-128-1","hsa-mir-128-2","hsa-mir-134","hsa-mir-141","hsa-mir-146a","hsa-mir-146b","hsa-mir-148a","hsa-mir-150","hsa-mir-155","hsa-mir-17","hsa-mir-181c","hsa-mir-182","hsa-mir-183","hsa-mir-187","hsa-mir-18a","hsa-mir-200b","hsa-mir-200c","hsa-mir-20a","hsa-mir-20b","hsa-mir-210","hsa-mir-215","hsa-mir-29a","hsa-mir-29b-1","hsa-mir-29b-2","hsa-mir-335","hsa-mir-34c","hsa-mir-363","hsa-mir-379","hsa-mir-381","hsa-mir-409","hsa-mir-410","hsa-mir-429","hsa-mir-432","hsa-mir-4661","hsa-mir-4772","hsa-mir-485","hsa-mir-487b","hsa-mir-584","hsa-mir-629","hsa-mir-651","hsa-mir-708","hsa-mir-889","hsa-mir-9-1","hsa-mir-9-2","hsa-mir-9-3","hsa-mir-92a-1","hsa-mir-92a-2","hsa-mir-93","hsa-mir-96","hsa-mir-135b","hsa-mir-200a"
"TCGA-OU-A5PI",11.7688661174888,2.0906312518541,14.0638180336501,4.15962111342263,11.7198505070225,4.23500177780634,4.26408471116911,10.4233091847114,1.10457619440723,2.0906312518541,6.23996061577533,15.4236573113061,3.79136098336227,3.68784678773653,6.21411283466545,4.931958381331,13.3269355202797,10.5386281032632,0.253052571470412,0.46827258933039,0.655514866839316,3.01682914255602,6.16098507089921,4.37488590652067,8.1081861051178,0.821224473554884,12.023404705457,10.3512390994828,10.3569450378556,5.83733168198854,4.11242674532507,2.53434876779349,11.3635509169802,8.24211150691171,8.26746683114043,6.4475256564945,0,5.87080463750026,0.46827258933039,0.46827258933039,6.25814382423621,6.17636510330922,3.73014788854896,3.1158730719188,1.4465394468029,4.63075730683708,8.69541370330974,9.43538782756131,9.47323929007354,9.44811564447529,11.0113425420016,11.0236183559051,10.3427441587664,4.17501561600844,0.46827258933039,0
"TCGA-BT-A2LA",10.0128478809355,5.65164851329147,13.8288767946466,7.18222424938305,6.32499348438115,7.24364664339656,7.19886092951382,5.20967088424733,4.03305318369424,3.57882582835384,6.75440574860974,13.0779089144952,3.70064611974318,6.97569268153732,10.9411551807088,8.34545301787335,14.026159911747,13.0739687321727,3.29916786052642,5.71663267209223,5.30495947796055,5.60247828931002,10.0396474938625,7.09381322982146,9.46342492605978,2.19519072033233,9.56797924388537,2.43875539808277,2.69477591392959,8.00938831970189,4.24012424746551,6.01790763682296,8.40132696513313,2.9121376459775,1.17846224704549,2.99067264527523,3.29916786052642,0.507026351165439,3.10099816142455,0.275673394853678,0.706355495656262,0.507026351165439,5.37982457172781,6.45878952566155,3.32970256784255,5.09880326583868,3.13597493297579,12.4015942898094,12.3839136008938,12.3977714990751,15.4752086090197,15.4709208883633,14.2102339450297,4.86863234719783,5.48530638286919,6.76840583425624
"TCGA-BT-A2LD",10.3047905505858,1.87204033040942,9.63751122489732,2.87885048077545,8.23100028022811,5.55359145123157,5.57611533247648,6.84124917524745,8.15747646385509,6.00254408972561,8.28600611927059,13.7620648921957,8.41592732960656,6.66544615477376,7.72232567593241,3.36621700733876,13.6243077333684,12.2979764973344,2.99038492866364,3.14301669483293,7.0567800865102,11.4023341610185,6.86522500630602,0.529488151473372,6.20688001390863,1.68575315767038,13.0407188504088,7.02110675719372,7.06794817523883,3.76165441136787,1.30920820819953,0.915966738394826,9.70982730696142,5.35949646701526,3.28103438348737,4.5705874613217,5.63737326473978,2.0370012017969,1.68575315767038,1.22048474218091,1.39279054916369,2.13734842569637,8.09801524966507,4.9544066958293,0.529488151473372,4.02005489570978,4.46833502698371,7.11946365921194,7.18540871425709,7.14228519488412,10.77580324745,10.7660402350577,11.2662855030255,4.86210667051133,1.02477284406883,6.82817214958709
"TCGA-DK-A3IU",10.352556902935,0.773830954096739,10.0523956180654,2.0925788910136,7.31547833243136,4.00430767157751,4.28206195625361,5.00402562892682,6.72280904727904,5.58035852555872,7.6714489789633,12.3374745160304,9.74557894669182,7.51565055718716,7.85160226627278,3.16185624901402,11.6782354128786,10.1802223596153,0.888901023627106,2.27290168112722,6.30521252407614,10.7374390836417,6.57167699197618,1.18754416898984,6.00068953359104,0.648781098699436,12.2440512526189,5.36369348628914,5.41739604483803,4.22844161691877,2.1398162109874,0.995467152161829,7.95013005035558,3.66001426750418,2.04374274853712,2.70851194383884,3.45117892700796,1.09469954986118,0.360557559445184,2.64444468930567,0.773830954096739,0.51185459534511,7.18925111198926,4.28206195625361,0.191513380939494,2.57739933934988,1.27477333582022,4.01701379303465,3.92562730711346,4.1265973532762,11.9646703339909,11.9559329443751,10.3139813319399,1.99319501394262,1.6458916078368,6.27114459136892
"TCGA-GV-A3JW",10.6496591137585,3.75662207456247,10.7184607926007,4.07775554323494,7.74320183537096,6.00141042388274,6.20340628717154,6.06503288027501,9.5847003497357,3.70430174384164,4.78013494901381,14.5554228598239,4.82982171008301,4.37414565700907,9.13026087135801,3.65001234677504,12.8142161653181,12.0904381215977,9.7151914385409,3.90307906231711,10.6539758776473,11.6556823341198,8.05662704590366,1.95916290872096,9.48936286649186,1.2893517158937,11.3697387747125,6.62531373158143,6.61826163808482,5.23212098812246,0.566955399066362,1.2893517158937,8.85229648090162,4.07775554323494,2.41482423515617,4.47127403250088,9.36848685512703,2.65428269323297,2.12755305440725,0.972904356265358,1.95916290872096,0.972904356265358,8.27189291031836,5.50106447351444,1.2893517158937,2.65428269323297,3.90307906231711,5.35599210089293,5.30420111383074,5.19468390046261,12.6440027770501,12.6528728888809,12.8537834206348,5.26861116379338,1.95916290872096,10.0221569491263
"TCGA-BT-A3PJ",9.93416120657045,3.50865391342365,12.8467311026998,4.32002197383956,9.25760680690927,6.74582515631155,6.84350099791266,7.89041587821366,9.0905050148889,7.01302950922696,8.06063268406353,13.2217307689011,8.25236021576885,7.1208603029078,9.51644526082452,4.24028501713669,11.4250401707671,11.3693188569039,4.34565078338559,4.8894436564336,6.85693011906602,12.5333104765305,8.83404823888235,2.40487806000453,10.7046698898493,1.95007231852872,12.432646666309,7.32790806239227,7.31499197602023,6.63586882739152,3.02854192460696,1.05239989503353,10.2972247064983,5.94253097308133,3.59666827874003,4.46738037427498,5.8107211788789,2.89605130986226,4.03506695714065,2.6712673267316,2.07790300057724,2.40487806000453,9.47422666124065,7.23153607154808,2.96381700074048,4.8894436564336,4.44384232987467,4.06623233315678,4.32002197383956,4.09673868010736,13.2706839925219,13.2735554654817,12.7155853472975,3.1498821982038,2.49924636658261,8.17405594453043
"TCGA-FD-A3SJ",10.2767932802418,2.87034084709872,13.2101336946821,3.97084914591144,7.97407012603931,5.08873054035982,4.97211812645614,5.94895110702531,9.50682477167674,5.13767913659105,8.42594450376905,12.136826994263,7.05657871648486,5.12559680122158,7.97743538268937,4.27425703866088,10.0390348212601,9.71341879004422,6.39635337930003,3.62100414506864,9.53536074780987,12.2780971359653,7.60675421569316,4.9100755296652,6.59345056994046,0.526468503047148,11.2093610277544,7.07240116033833,7.04058081737676,5.65739517211809,2.43402367013813,3.31538798358087,8.44612399470749,3.63811578481223,2.74957309655973,3.18173436689341,8.39984642127852,1.80553680556885,1.38669784357486,0.794102234550667,1.92188986294185,2.02955536385255,5.33946049389132,5.98283369469666,1.21486834788244,4.72226463423261,3.31538798358087,6.66615527738921,6.63453038148516,6.68685985356416,11.515427908988,11.5240833211198,12.4190704855028,2.02955536385255,1.01977093445316,10.0600182124251
"TCGA-GV-A3QF",10.9653443442005,3.82000746302048,12.0418310719057,5.22703518690608,7.57409458834532,6.93964102262994,6.72773765624324,6.51420278998109,10.7477113268073,8.1893318289762,6.96512024977499,11.0225879140467,5.74128589658393,4.87940499378166,10.0788003253634,3.57725974333298,13.8440860261611,13.083339829928,9.14288007342844,5.76081597537335,10.3725673282921,13.8901213243622,9.98642805008756,5.92562016296374,10.562594630677,2.21579257898996,10.5202501186894,6.69765359922473,6.61422046668406,7.41678996267178,0.789998779630722,3.89262368423139,8.49650334663843,4.46878719567992,2.77243192484281,4.26504938977487,8.00098977749638,2.91870317270763,3.28523663235987,2.77243192484281,2.21579257898996,1.29757119310264,9.93792498184094,4.64728123391464,3.74354168038827,0.789998779630722,3.82000746302048,4.87940499378166,5.01570076413401,4.15126525482612,13.7398443397354,13.7383827884497,14.1426754041295,5.36103268510573,0.789998779630722,10.3985147672319
"TCGA-GC-A3YS",9.75470740618054,2.18522464104363,11.1868345428384,5.4932577895906,9.44453924112158,6.26862080075936,6.36385006355286,7.52089030198871,8.04728181449004,6.43901029416177,7.51318138414022,12.921237046732,6.10388721547211,5.94965076417267,8.99109633284661,4.73172056712755,11.9475992871376,10.7239207468947,0.794157145836977,3.99330906823236,7.48192706921984,11.5015033797853,8.58793908912488,4.20907821614677,9.21075214218502,0.451047014488205,11.5649237230892,6.82415405540527,6.85345075480531,5.54331980449559,3.41483573328603,2.64634517188602,10.0729870095546,5.93818193857163,3.8041013794666,4.37137638848246,6.49291747665793,2.72853507503493,1.83561044595076,1.6228591512262,2.80629415132153,2.2608278002687,5.48539938994115,6.63465957920293,2.14588349319776,6.08581047629063,4.62846647956909,5.75094417492949,5.75748444570988,5.93241315393166,12.4680255134136,12.460153381156,13.254908081895,3.51086560984122,2.80629415132153,8.424431569115
"TCGA-BT-A42E",9.69945337528202,3.17989969754216,11.8776306639128,4.71548982063643,6.10340342922867,5.99534901676692,5.99183837662195,5.44750996932851,10.9224299235022,6.7731762183801,9.76313388638607,14.0133074133723,8.41959512350205,7.55923779728483,10.1680677881355,3.76115780839026,13.3026408059722,12.6195940491573,2.08949340512393,4.55347140471785,8.04332564309995,13.5757224707051,9.67092430704546,4.45492179480886,11.6081553095566,1.16374023467569,11.3136314234184,8.03311454018742,7.98801172844247,3.76115780839026,5.61660909387658,2.08949340512393,7.41988883744693,3.79378094083826,1.51629911811303,1.43590377321924,6.12919820459359,1.06027501399332,0.551039511208779,2.90919149347133,0.551039511208779,0.828010016670017,7.3489409581813,6.55025527741749,2.33090827568376,8.58716285544138,2.14111655361949,7.95233164417298,7.95052426384411,7.88105922595942,13.1916864436363,13.2059130888891,13.793639187643,4.69836051778531,4.16189703165525,8.25215442925148
