"","hsa-mir-1180","hsa-mir-127","hsa-mir-134","hsa-mir-141","hsa-mir-148a","hsa-mir-181c","hsa-mir-187","hsa-mir-200b","hsa-mir-200c","hsa-mir-210","hsa-mir-29b-1","hsa-mir-29b-2","hsa-mir-379","hsa-mir-409","hsa-mir-410","hsa-mir-429","hsa-mir-432","hsa-mir-487b","hsa-mir-584","hsa-mir-889","hsa-mir-135b","hsa-mir-200a"
"TCGA-OU-A5PI",4.15962111342263,11.7198505070225,10.4233091847114,1.10457619440723,15.4236573113061,4.931958381331,0.253052571470412,0.655514866839316,3.01682914255602,8.1081861051178,10.3512390994828,10.3569450378556,11.3635509169802,8.26746683114043,6.4475256564945,0,5.87080463750026,6.17636510330922,3.73014788854896,8.69541370330974,0.46827258933039,0
"TCGA-BT-A2LA",7.18222424938305,6.32499348438115,5.20967088424733,4.03305318369424,13.0779089144952,8.34545301787335,3.29916786052642,5.30495947796055,5.60247828931002,9.46342492605978,2.43875539808277,2.69477591392959,8.40132696513313,1.17846224704549,2.99067264527523,3.29916786052642,0.507026351165439,0.507026351165439,5.37982457172781,3.13597493297579,5.48530638286919,6.76840583425624
"TCGA-BT-A2LD",2.87885048077545,8.23100028022811,6.84124917524745,8.15747646385509,13.7620648921957,3.36621700733876,2.99038492866364,7.0567800865102,11.4023341610185,6.20688001390863,7.02110675719372,7.06794817523883,9.70982730696142,3.28103438348737,4.5705874613217,5.63737326473978,2.0370012017969,2.13734842569637,8.09801524966507,4.46833502698371,1.02477284406883,6.82817214958709
"TCGA-DK-A3IU",2.0925788910136,7.31547833243136,5.00402562892682,6.72280904727904,12.3374745160304,3.16185624901402,0.888901023627106,6.30521252407614,10.7374390836417,6.00068953359104,5.36369348628914,5.41739604483803,7.95013005035558,2.04374274853712,2.70851194383884,3.45117892700796,1.09469954986118,0.51185459534511,7.18925111198926,1.27477333582022,1.6458916078368,6.27114459136892
"TCGA-GV-A3JW",4.07775554323494,7.74320183537096,6.06503288027501,9.5847003497357,14.5554228598239,3.65001234677504,9.7151914385409,10.6539758776473,11.6556823341198,9.48936286649186,6.62531373158143,6.61826163808482,8.85229648090162,2.41482423515617,4.47127403250088,9.36848685512703,2.65428269323297,0.972904356265358,8.27189291031836,3.90307906231711,1.95916290872096,10.0221569491263
"TCGA-BT-A3PJ",4.32002197383956,9.25760680690927,7.89041587821366,9.0905050148889,13.2217307689011,4.24028501713669,4.34565078338559,6.85693011906602,12.5333104765305,10.7046698898493,7.32790806239227,7.31499197602023,10.2972247064983,3.59666827874003,4.46738037427498,5.8107211788789,2.89605130986226,2.40487806000453,9.47422666124065,4.44384232987467,2.49924636658261,8.17405594453043
"TCGA-FD-A3SJ",3.97084914591144,7.97407012603931,5.94895110702531,9.50682477167674,12.136826994263,4.27425703866088,6.39635337930003,9.53536074780987,12.2780971359653,6.59345056994046,7.07240116033833,7.04058081737676,8.44612399470749,2.74957309655973,3.18173436689341,8.39984642127852,1.80553680556885,2.02955536385255,5.33946049389132,3.31538798358087,1.01977093445316,10.0600182124251
"TCGA-GV-A3QF",5.22703518690608,7.57409458834532,6.51420278998109,10.7477113268073,11.0225879140467,3.57725974333298,9.14288007342844,10.3725673282921,13.8901213243622,10.562594630677,6.69765359922473,6.61422046668406,8.49650334663843,2.77243192484281,4.26504938977487,8.00098977749638,2.91870317270763,1.29757119310264,9.93792498184094,3.82000746302048,0.789998779630722,10.3985147672319
"TCGA-GC-A3YS",5.4932577895906,9.44453924112158,7.52089030198871,8.04728181449004,12.921237046732,4.73172056712755,0.794157145836977,7.48192706921984,11.5015033797853,9.21075214218502,6.82415405540527,6.85345075480531,10.0729870095546,3.8041013794666,4.37137638848246,6.49291747665793,2.72853507503493,2.2608278002687,5.48539938994115,4.62846647956909,2.80629415132153,8.424431569115
"TCGA-BT-A42E",4.71548982063643,6.10340342922867,5.44750996932851,10.9224299235022,14.0133074133723,3.76115780839026,2.08949340512393,8.04332564309995,13.5757224707051,11.6081553095566,8.03311454018742,7.98801172844247,7.41988883744693,1.51629911811303,1.43590377321924,6.12919820459359,1.06027501399332,0.828010016670017,7.3489409581813,2.14111655361949,4.16189703165525,8.25215442925148
"TCGA-CF-A47T",4.62752769783301,7.66503225122426,5.79216191664397,12.0610830042776,13.3386556257373,6.09421689572688,8.80564260591332,10.7041467197221,14.4111055559208,11.1987771036519,8.56245872447864,8.51647756053268,8.53015422289066,3.05742860993357,4.09127373194937,8.64773799078702,2.27406451674443,1.03309592422018,8.25670090919192,4.06144451237974,4.40807378247661,10.9046181393288
"TCGA-FD-A62S",3.00446885257796,9.27922635053174,8.40413995758799,9.08267535867266,13.1603529267376,4.30601705407802,2.65637165956515,8.5819819192698,13.096965851035,7.14899982331865,8.34430408020519,8.33023498085618,9.91199135330018,3.86982660496578,4.01761436744394,6.85413179135542,3.12790347087432,2.24106372542288,6.20330628046797,4.39718078525379,3.38708690791449,8.45865613790939
"TCGA-XF-A9SY",3.97059066975864,8.68521770227068,8.00581869930484,9.10992042759096,15.4684447615527,4.14029555013642,1.97652054549119,6.13897428176773,12.0965025362978,10.6931411771604,8.87054743397115,8.84314530391294,9.90429715261403,3.08774286663904,4.11336178607912,4.89248657093623,1.3954982850626,2.09139078506742,7.28169110150865,4.0579369805114,3.5562132095892,7.00227379940879
"TCGA-XF-AAME",3.55646657065301,11.0690209782493,8.45523637697985,6.5942682089373,13.6133318318902,3.8589159564752,5.01080167590745,6.84795494004977,10.8214319629278,5.17995250950747,7.49354035905182,7.51534293603365,10.7025672907547,5.25364333333083,6.1254342802728,4.73016223881352,4.88246654072052,3.42087054494158,6.01204115314986,5.86304310225444,3.13916199730418,5.85780144304443
"TCGA-XF-AAMY",4.33213568239233,10.0948258570241,8.41599301192568,9.88393888154986,13.8832499885299,5.25671854098755,6.27739036837833,10.2945730989659,13.0595614916808,8.8690082354217,7.7687335164431,7.63924443652567,10.1369413190232,4.12163181410293,5.38571537195819,9.508163166038,3.49917440737784,3.23481858048387,7.21797976329811,4.4754433066229,1.1776690852057,10.3712682753518
"TCGA-A2-A3XV",2.05362401046212,8.91909013986029,7.20279472430492,10.1662100366459,15.7480673295034,4.1422335390882,8.99233771589396,7.66636337550462,12.7479557774928,9.32968587534082,6.56443662823736,6.52266108815144,9.21195429207701,3.38604194785391,4.06672435322274,4.73671374976646,1.48586111605449,1.48586111605449,6.87780047224951,3.61533024622445,0,8.26699134669614
"TCGA-A2-A3XY",3.12715516334267,8.65880363751875,7.42143708674901,9.70515758827753,13.2702076973176,5.22439920494678,4.77336215924655,8.41191825777633,12.0080126513366,7.35480736886468,6.30756484614655,6.32272006131982,9.75837627221982,3.40858986527391,4.36851882367063,6.16769114313748,1.52706933433602,2.2521725047036,7.2397573816327,4.16494593420938,4.04213720400915,9.28671661333811
"TCGA-A2-A3XZ",2.38569663429994,8.46157447376263,6.64555788332691,8.12387856184518,13.7895815837278,4.01569790997238,1.54640901549508,8.36737487945396,11.4949453862132,6.92409897088816,6.20933429938316,6.25721908464998,9.33632731306378,2.75759423585599,3.85262243813114,6.57173298783458,1.63829677138164,1.34296087295306,4.19282753351397,3.75336888112309,0.82240955874357,9.22078600013679
"TCGA-A7-A4SF",3.64218157658114,6.75412259090143,5.10582735927495,9.63810541570585,14.4144179356059,3.67137626278239,4.11561018893281,9.06806536216006,13.5594385555311,8.09855659679999,5.69464140422427,5.85591564270835,6.87198102565856,2.11037426900989,1.72119764415608,6.91838209575672,1.18660641055891,1.18660641055891,3.9821751235064,3.34885545981329,0.327955186282993,8.42747541004802
"TCGA-BH-A0HY",2.56640286173642,8.13133061780293,8.50328145712869,9.83842286613956,14.3699845849971,3.43917284006387,1.15757863732948,7.83733120887655,12.457862669021,8.24689918886361,4.08752631843565,4.53324449980422,9.71285891623916,3.73425091929997,2.83877714088346,6.10214314512648,2.23035059610307,1.79146153133944,6.42504044412553,2.83877714088346,2.56640286173642,9.5706529192819
"TCGA-HG-A2PA",4.34595821301243,8.32919759083272,6.53268008124568,9.73509911054573,15.4179716810698,5.17290569404634,4.93208451665212,9.91385905056714,12.8015873416316,8.64874735004819,6.97738246570315,6.9601183627093,9.73281362187184,3.03470169772253,3.74856202491789,8.11113229959425,1.48475169404515,1.63155693114842,6.31093819878145,3.74856202491789,4.94618230720644,10.4005233176969
"TCGA-IR-A3LK",2.52980071118361,6.42214558848002,5.00836977011795,8.15988622269133,13.6057023020976,4.58371739866795,0.200649984095122,8.3460528348326,11.3373507802954,9.76913012317543,7.55434252884182,7.52542292175419,7.54515117921689,1.76020348495961,2.24196370713304,6.69364770798199,0.533711845968018,0.804120486566302,5.71778078679783,2.24196370713304,5.19624006852464,8.53665371667697
