mature_mirna_id,miRNA_short_lower,target_symbol
hsa-miR-31-5p,hsa-mir-31,CELSR2
hsa-miR-582-5p,hsa-mir-582,MYCN
hsa-miR-582-3p,hsa-mir-582,SFRP1
