mature_mirna_id,miRNA_short_lower,target_symbol
hsa-miR-10b-5p,hsa-mir-10b,CDKN1A
hsa-miR-10b-5p,hsa-mir-10b,INHBA
hsa-miR-10b-5p,hsa-mir-10b,TFPI
hsa-miR-99a-5p,hsa-mir-99a,SERPINE1
hsa-miR-181c-5p,hsa-mir-181c,DUSP5
hsa-miR-181c-5p,hsa-mir-181c,SERPINE1
hsa-miR-508-3p,hsa-mir-508,F3
hsa-miR-218-2-3p,hsa-mir-218-2,ELL2
hsa-miR-508-5p,hsa-mir-508,SLC16A4
hsa-miR-1287-5p,hsa-mir-1287,ITGA3
hsa-miR-181d-5p,hsa-mir-181d,DUSP5
