mature_mirna_id,miRNA_short_lower,target_symbol
hsa-miR-27b-3p,hsa-mir-27b,PREX1
hsa-miR-27b-3p,hsa-mir-27b,VAV3
hsa-miR-27b-3p,hsa-mir-27b,TBC1D9
hsa-miR-23b-3p,hsa-mir-23b,VAV3
hsa-miR-27b-5p,hsa-mir-27b,TRPS1
hsa-miR-3065-5p,hsa-mir-3065,CXCL10
hsa-miR-675-3p,hsa-mir-675,AR
